# Assembly Statistics Report
# Assembly name:  CanFam3.1
# Organism name:  Canis lupus familiaris (dog)
# Infraspecific name:  breed=boxer
# Sex:  female
# Taxid:          9615
# BioSample:      SAMN02953603
# BioProject:     PRJNA13179
# Submitter:      Dog Genome Sequencing Consortium
# Date:           2011-11-2
# Synonyms:       canFam3	
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AAEX03
# Assembly method: Arachne v. April 2010
# Genome coverage: 7x plus >90Mb finished sequence
# Sequencing technology: Sanger
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000002285.2
# RefSeq assembly accession: GCF_000002285.3
# RefSeq assembly and GenBank assemblies identical: no
# Reporting on RefSeq assembly.
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000145.2	GCF_000000145.2	Primary Assembly
## 	GCF_000184225.1	non-nuclear
#
# Statistic Types
# Statistic	Description
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
Primary Assembly	7	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	7	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	8	Chromosome	all	total-length	74330416
Primary Assembly	8	Chromosome	all	ungapped-length	74071572
Primary Assembly	8	Chromosome	all	scaffold-count	2
Primary Assembly	8	Chromosome	all	scaffold-N50	72170317
Primary Assembly	8	Chromosome	all	spanned-gaps	581
Primary Assembly	8	Chromosome	all	unspanned-gaps	2
Primary Assembly	8	Chromosome	assembled-molecule	total-length	74330416
Primary Assembly	8	Chromosome	assembled-molecule	ungapped-length	74071572
Primary Assembly	8	Chromosome	assembled-molecule	scaffold-count	2
Primary Assembly	8	Chromosome	assembled-molecule	scaffold-N50	72170317
Primary Assembly	8	Chromosome	assembled-molecule	spanned-gaps	581
Primary Assembly	8	Chromosome	assembled-molecule	unspanned-gaps	2
Primary Assembly	8	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	8	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	9	Chromosome	all	total-length	61074082
Primary Assembly	9	Chromosome	all	ungapped-length	60688643
Primary Assembly	9	Chromosome	all	scaffold-count	5
Primary Assembly	9	Chromosome	all	scaffold-N50	13298980
Primary Assembly	9	Chromosome	all	spanned-gaps	759
Primary Assembly	9	Chromosome	all	unspanned-gaps	5
Primary Assembly	9	Chromosome	assembled-molecule	total-length	61074082
Primary Assembly	9	Chromosome	assembled-molecule	ungapped-length	60688643
Primary Assembly	9	Chromosome	assembled-molecule	scaffold-count	5
Primary Assembly	9	Chromosome	assembled-molecule	scaffold-N50	13298980
Primary Assembly	9	Chromosome	assembled-molecule	spanned-gaps	759
Primary Assembly	9	Chromosome	assembled-molecule	unspanned-gaps	5
Primary Assembly	9	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	9	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	9	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	9	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	9	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	9	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	10	Chromosome	all	total-length	69331447
Primary Assembly	10	Chromosome	all	ungapped-length	68960673
Primary Assembly	10	Chromosome	all	scaffold-count	2
Primary Assembly	10	Chromosome	all	scaffold-N50	52772705
Primary Assembly	10	Chromosome	all	spanned-gaps	742
Primary Assembly	10	Chromosome	all	unspanned-gaps	2
Primary Assembly	10	Chromosome	assembled-molecule	total-length	69331447
Primary Assembly	10	Chromosome	assembled-molecule	ungapped-length	68960673
Primary Assembly	10	Chromosome	assembled-molecule	scaffold-count	2
Primary Assembly	10	Chromosome	assembled-molecule	scaffold-N50	52772705
Primary Assembly	10	Chromosome	assembled-molecule	spanned-gaps	742
Primary Assembly	10	Chromosome	assembled-molecule	unspanned-gaps	2
Primary Assembly	10	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	10	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	10	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	10	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	10	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	10	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	11	Chromosome	all	total-length	74389097
Primary Assembly	11	Chromosome	all	ungapped-length	74159344
Primary Assembly	11	Chromosome	all	scaffold-count	2
Primary Assembly	11	Chromosome	all	scaffold-N50	65333807
Primary Assembly	11	Chromosome	all	spanned-gaps	531
Primary Assembly	11	Chromosome	all	unspanned-gaps	2
Primary Assembly	11	Chromosome	assembled-molecule	total-length	74389097
Primary Assembly	11	Chromosome	assembled-molecule	ungapped-length	74159344
Primary Assembly	11	Chromosome	assembled-molecule	scaffold-count	2
Primary Assembly	11	Chromosome	assembled-molecule	scaffold-N50	65333807
Primary Assembly	11	Chromosome	assembled-molecule	spanned-gaps	531
Primary Assembly	11	Chromosome	assembled-molecule	unspanned-gaps	2
Primary Assembly	11	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	11	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	11	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	11	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	11	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	11	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	12	Chromosome	all	total-length	72498081
Primary Assembly	12	Chromosome	all	ungapped-length	72323870
Primary Assembly	12	Chromosome	all	scaffold-count	1
Primary Assembly	12	Chromosome	all	scaffold-N50	72497981
Primary Assembly	12	Chromosome	all	spanned-gaps	481
Primary Assembly	12	Chromosome	all	unspanned-gaps	1
Primary Assembly	12	Chromosome	assembled-molecule	total-length	72498081
Primary Assembly	12	Chromosome	assembled-molecule	ungapped-length	72323870
Primary Assembly	12	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	12	Chromosome	assembled-molecule	scaffold-N50	72497981
Primary Assembly	12	Chromosome	assembled-molecule	spanned-gaps	481
Primary Assembly	12	Chromosome	assembled-molecule	unspanned-gaps	1
Primary Assembly	12	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	12	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	12	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	12	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	12	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	12	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	13	Chromosome	all	total-length	63241923
Primary Assembly	13	Chromosome	all	ungapped-length	62975555
Primary Assembly	13	Chromosome	all	scaffold-count	2
Primary Assembly	13	Chromosome	all	scaffold-N50	33587536
Primary Assembly	13	Chromosome	all	spanned-gaps	486
Primary Assembly	13	Chromosome	all	unspanned-gaps	2
Primary Assembly	13	Chromosome	assembled-molecule	total-length	63241923
Primary Assembly	13	Chromosome	assembled-molecule	ungapped-length	62975555
Primary Assembly	13	Chromosome	assembled-molecule	scaffold-count	2
Primary Assembly	13	Chromosome	assembled-molecule	scaffold-N50	33587536
Primary Assembly	13	Chromosome	assembled-molecule	spanned-gaps	486
Primary Assembly	13	Chromosome	assembled-molecule	unspanned-gaps	2
Primary Assembly	13	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	13	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	13	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	13	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	13	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	13	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	14	Chromosome	all	total-length	60966679
Primary Assembly	14	Chromosome	all	ungapped-length	60715390
Primary Assembly	14	Chromosome	all	scaffold-count	1
Primary Assembly	14	Chromosome	all	scaffold-N50	60966579
Primary Assembly	14	Chromosome	all	spanned-gaps	344
Primary Assembly	14	Chromosome	all	unspanned-gaps	1
Primary Assembly	14	Chromosome	assembled-molecule	total-length	60966679
Primary Assembly	14	Chromosome	assembled-molecule	ungapped-length	60715390
Primary Assembly	14	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	14	Chromosome	assembled-molecule	scaffold-N50	60966579
Primary Assembly	14	Chromosome	assembled-molecule	spanned-gaps	344
Primary Assembly	14	Chromosome	assembled-molecule	unspanned-gaps	1
Primary Assembly	14	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	14	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	14	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	14	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	14	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	14	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	15	Chromosome	all	total-length	64190966
Primary Assembly	15	Chromosome	all	ungapped-length	63855495
Primary Assembly	15	Chromosome	all	scaffold-count	1
Primary Assembly	15	Chromosome	all	scaffold-N50	64190866
Primary Assembly	15	Chromosome	all	spanned-gaps	636
Primary Assembly	15	Chromosome	all	unspanned-gaps	1
Primary Assembly	15	Chromosome	assembled-molecule	total-length	64190966
Primary Assembly	15	Chromosome	assembled-molecule	ungapped-length	63855495
Primary Assembly	15	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	15	Chromosome	assembled-molecule	scaffold-N50	64190866
Primary Assembly	15	Chromosome	assembled-molecule	spanned-gaps	636
Primary Assembly	15	Chromosome	assembled-molecule	unspanned-gaps	1
Primary Assembly	15	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	15	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	15	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	15	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	15	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	15	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	16	Chromosome	all	total-length	59632846
Primary Assembly	16	Chromosome	all	ungapped-length	59207916
Primary Assembly	16	Chromosome	all	scaffold-count	3
Primary Assembly	16	Chromosome	all	scaffold-N50	20537376
Primary Assembly	16	Chromosome	all	spanned-gaps	439
Primary Assembly	16	Chromosome	all	unspanned-gaps	3
Primary Assembly	16	Chromosome	assembled-molecule	total-length	59632846
Primary Assembly	16	Chromosome	assembled-molecule	ungapped-length	59207916
Primary Assembly	16	Chromosome	assembled-molecule	scaffold-count	3
Primary Assembly	16	Chromosome	assembled-molecule	scaffold-N50	20537376
Primary Assembly	16	Chromosome	assembled-molecule	spanned-gaps	439
Primary Assembly	16	Chromosome	assembled-molecule	unspanned-gaps	3
Primary Assembly	16	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	16	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	16	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	16	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	16	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	16	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	17	Chromosome	all	total-length	64289059
Primary Assembly	17	Chromosome	all	ungapped-length	64090349
Primary Assembly	17	Chromosome	all	scaffold-count	2
Primary Assembly	17	Chromosome	all	scaffold-N50	51516082
Primary Assembly	17	Chromosome	all	spanned-gaps	511
Primary Assembly	17	Chromosome	all	unspanned-gaps	2
Primary Assembly	17	Chromosome	assembled-molecule	total-length	64289059
Primary Assembly	17	Chromosome	assembled-molecule	ungapped-length	64090349
Primary Assembly	17	Chromosome	assembled-molecule	scaffold-count	2
Primary Assembly	17	Chromosome	assembled-molecule	scaffold-N50	51516082
Primary Assembly	17	Chromosome	assembled-molecule	spanned-gaps	511
Primary Assembly	17	Chromosome	assembled-molecule	unspanned-gaps	2
Primary Assembly	17	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	17	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	17	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	17	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	17	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	17	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	18	Chromosome	all	total-length	55844845
Primary Assembly	18	Chromosome	all	ungapped-length	55531043
Primary Assembly	18	Chromosome	all	scaffold-count	2
Primary Assembly	18	Chromosome	all	scaffold-N50	30512770
Primary Assembly	18	Chromosome	all	spanned-gaps	587
Primary Assembly	18	Chromosome	all	unspanned-gaps	2
Primary Assembly	18	Chromosome	assembled-molecule	total-length	55844845
Primary Assembly	18	Chromosome	assembled-molecule	ungapped-length	55531043
Primary Assembly	18	Chromosome	assembled-molecule	scaffold-count	2
Primary Assembly	18	Chromosome	assembled-molecule	scaffold-N50	30512770
Primary Assembly	18	Chromosome	assembled-molecule	spanned-gaps	587
Primary Assembly	18	Chromosome	assembled-molecule	unspanned-gaps	2
Primary Assembly	18	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	18	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	18	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	18	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	18	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	18	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	19	Chromosome	all	total-length	53741614
Primary Assembly	19	Chromosome	all	ungapped-length	53607168
Primary Assembly	19	Chromosome	all	scaffold-count	2
Primary Assembly	19	Chromosome	all	scaffold-N50	35994929
